Generacion   Cromosoma                                                         Lista                                                     Distancia                                                                                                                                             
1               1               [1, 11, 16, 15, 3, 21, 22, 4, 19, 14, 6, 8, 18, 13, 2, 5, 24, 7, 9, 17, 10, 25, 20, 23, 12, 1]       125.53275086984199                                                                                                                                    
1               2               [1, 9, 19, 4, 5, 10, 18, 12, 21, 3, 14, 15, 23, 11, 24, 22, 17, 2, 20, 16, 13, 6, 25, 7, 8, 1]       140.420224315975                                                                                                                                      
1               3               [1, 15, 12, 23, 25, 20, 6, 8, 13, 19, 7, 21, 9, 16, 10, 11, 17, 24, 4, 14, 2, 3, 18, 22, 5, 1]       127.70035231215365                                                                                                                                    
1               4               [1, 23, 4, 9, 13, 18, 20, 5, 2, 22, 21, 16, 12, 11, 17, 3, 25, 7, 6, 15, 10, 8, 14, 19, 24, 1]       123.22322215930117                                                                                                                                    
1               5               [1, 6, 11, 16, 18, 14, 13, 19, 20, 25, 15, 22, 7, 10, 5, 9, 4, 2, 3, 8, 17, 24, 12, 23, 21, 1]       121.67462505568813                                                                                                                                    
1               6               [1, 7, 2, 8, 22, 14, 23, 21, 15, 16, 20, 12, 13, 6, 18, 11, 17, 25, 19, 3, 9, 24, 10, 5, 4, 1]       144.39181944030832                                                                                                                                    
1               7               [1, 24, 16, 4, 25, 18, 2, 11, 7, 3, 9, 14, 13, 17, 21, 5, 8, 10, 22, 19, 23, 20, 6, 12, 15, 1]       130.26910613598358                                                                                                                                    
1               8               [1, 10, 21, 6, 25, 5, 16, 9, 20, 19, 17, 12, 8, 3, 13, 22, 11, 7, 14, 23, 24, 4, 15, 18, 2, 1]       128.67091078988022                                                                                                                                    
1               9               [1, 14, 24, 8, 5, 11, 17, 13, 15, 21, 12, 22, 2, 9, 25, 6, 4, 20, 7, 3, 19, 16, 23, 10, 18, 1]       157.12324219518712                                                                                                                                    
1               10              [1, 5, 3, 17, 15, 24, 22, 11, 21, 12, 10, 19, 25, 18, 8, 2, 7, 13, 4, 20, 9, 14, 16, 23, 6, 1]       136.92155934801494                                                                                                                                    
1               11              [1, 2, 10, 15, 20, 4, 23, 9, 11, 18, 13, 5, 16, 12, 3, 22, 19, 25, 24, 21, 8, 14, 6, 7, 17, 1]       110.45089859134708                                                                                                                                    
1               12              [1, 11, 14, 2, 19, 24, 25, 20, 13, 9, 10, 18, 12, 16, 22, 21, 4, 23, 8, 5, 3, 6, 7, 17, 15, 1]       116.22393455005488                                                                                                                                    
1               13              [1, 11, 16, 3, 19, 17, 9, 7, 25, 6, 18, 4, 10, 24, 15, 5, 22, 23, 14, 8, 20, 2, 12, 21, 13, 1]       138.683908126268                                                                                                                                      
1               14              [1, 15, 21, 2, 8, 5, 11, 3, 24, 20, 19, 6, 22, 25, 16, 9, 7, 13, 12, 17, 18, 4, 10, 23, 14, 1]       131.00530429102042                                                                                                                                    
1               15              [1, 6, 15, 25, 12, 16, 14, 9, 3, 24, 22, 19, 5, 8, 21, 13, 2, 10, 17, 20, 18, 7, 11, 4, 23, 1]       131.79439081610604                                                                                                                                    
1               16              [1, 12, 5, 21, 16, 19, 9, 8, 18, 3, 17, 11, 20, 2, 22, 4, 15, 23, 10, 13, 14, 25, 7, 24, 6, 1]       148.67480527139182                                                                                                                                    
1               17              [1, 19, 12, 11, 21, 13, 9, 16, 25, 10, 24, 20, 4, 18, 14, 17, 2, 22, 3, 6, 8, 5, 23, 15, 7, 1]       135.76289727233245                                                                                                                                    
1               18              [1, 20, 15, 24, 21, 6, 2, 17, 12, 13, 18, 19, 9, 5, 11, 4, 22, 23, 16, 7, 3, 14, 10, 25, 8, 1]       133.50419592090591                                                                                                                                    
1               19              [1, 17, 9, 14, 2, 23, 22, 15, 13, 25, 8, 5, 19, 7, 21, 12, 10, 18, 6, 24, 11, 20, 4, 3, 16, 1]       143.88073720793366                                                                                                                                    
1               20              [1, 21, 15, 10, 3, 25, 7, 6, 12, 20, 14, 23, 16, 5, 19, 24, 13, 2, 22, 11, 9, 18, 17, 8, 4, 1]       135.0576259798665                                                                                                                                     
1               21              [1, 25, 19, 17, 23, 2, 8, 15, 10, 18, 21, 20, 13, 22, 24, 14, 7, 9, 4, 11, 12, 16, 6, 5, 3, 1]       107.16573742042138                                                                                                                                    
1               22              [1, 19, 5, 24, 17, 6, 16, 2, 10, 21, 11, 9, 18, 4, 22, 20, 7, 8, 13, 23, 15, 14, 25, 12, 3, 1]       140.33861719196187                                                                                                                                    
1               23              [1, 7, 3, 4, 25, 15, 2, 24, 10, 20, 9, 5, 6, 18, 11, 8, 19, 14, 22, 13, 17, 21, 23, 12, 16, 1]       138.3754279441374                                                                                                                                     
1               24              [1, 5, 4, 21, 12, 24, 16, 15, 3, 25, 18, 20, 17, 23, 19, 14, 13, 11, 7, 22, 6, 2, 10, 8, 9, 1]       127.43218512910288                                                                                                                                    
